Number,Name,Description,Quantity,On Order,Vendor,Vendor Number,Unit
101000,Carpet and Upholstery Spotter Aerosol,Carpet and Upholstery Spotter Aerosol,44,0,,,Each
101100,"Brush, Wire Bristle",Wire Bristle Brush,202,0,,,Each
101200,"Mop Head, 72"" Dust","72"" Dust Mop Head",11,12,,,Each
101300,"Dust Mop Frame 72""","Mop Frame 72""",11,2,,,Each
101400,Counter Brush,Shop Counter Brush ,24,24,,,Each
101500,Safety Goggles,Safety Glasses,1944,0,,,Each
101600,"Combination Lock, Seasame",4 Dial Combination Lock ,36,10,,,Each
101700,OdoBan Wall Dispenser,OdoBan Dispenser Kit,8,0,,,Each
101800,"Hose Nozzle, Brass",Brass Twist Nozzle,69,20,,,Each
101900,Isopropyl Wipes,Isopropyl Wipes,131,0,,,Each
102000,Isopropyl Refills,Isopropyl Refills,255,0,,,Each
102100,Isopropyl Gallon Jug,Isopropyl Gallon Jug,26,0,,,Each
102200,Plastic Impact Bulk Disp.,Plastic Impact Bulk Disp.,106,0,,,Each
102300,Canister for Dry Wipe + Lid,Bucket Canister for dry Wipes,58,0,,,Each
102400,Dry wipe refill,Dry Wipes,534,0,,,Each
102500,2 Gal Weed Sprayer,2 Gal Weed Sprayer,49,75,,,Each
102600,Smart Belly Can Liners (Clear),Large Clear Trash Bags - Non-Compacting BigBelly ,30,0,,,Case
102700,Pink Soap ,"Pink Bulk, Gallon Refill Soap",101,40,,,Gal
102800,Dust Mop Treatment - Aerosol ,Dust Mop Activation Spray - Pickup More Dust,71,0,,,Each
102900,"Brush 20"", Palmyra Gong","Brush 20"", Palmyra Gong",0,0,,,Each
103000,Dirty Water Mop Bucket,Dirty Water Mop Bucket,106,0,,,Each
103100,"8"" Vehicle Window Brush ","8"" Vehicle Window Brush ",11,0,,,Each
103200,Oxivir,Disinfectant Sample - Biohazard Clean Up ,59,0,,,Each
103300,Goo Gone ,Removes Sticky Residue From Surfaces,6,0,,,Each
103400,KrudKutter,Hose/Pressure Washer Cleaning Concentrate,12,0,,,Each
103500,"Ki-Vac, Kaipow",Degreaser,16,0,,,Gal
103600,"Ki-Vac, Kaio",Multi-Purpose Cleaner,45,0,,,Gal
